Departamento,provincia,Jardines,Primarias,Secundarias,Superiores No Universitarios,Poblacion Jardines,Poblacion Primarias,Poblacion Secundarias,Poblacion Superiores No Universitarios
La Matanza,Buenos Aires,325.0,333.0,335.0,20.0,157034.0,225872.0,151594.0,1302668.0
La Plata,Buenos Aires,232.0,199.0,206.0,48.0,52075.0,77998.0,54517.0,571484.0
Lomas de Zamora,Buenos Aires,162.0,178.0,191.0,28.0,50825.0,76967.0,54431.0,503421.0
General Pueyrredón,Buenos Aires,178.0,169.0,170.0,35.0,41427.0,62565.0,47412.0,509165.0
Quilmes,Buenos Aires,162.0,146.0,153.0,14.0,47353.0,70881.0,50346.0,463194.0
Almirante Brown,Buenos Aires,133.0,137.0,145.0,7.0,43762.0,67913.0,48665.0,422869.0
Moreno,Buenos Aires,118.0,134.0,134.0,9.0,50791.0,76357.0,50667.0,397943.0
Merlo,Buenos Aires,110.0,120.0,124.0,13.0,48007.0,71541.0,49991.0,411945.0
Lanús,Buenos Aires,120.0,116.0,114.0,13.0,28133.0,44506.0,33067.0,354375.0
Tigre,Buenos Aires,124.0,111.0,109.0,5.0,32611.0,51961.0,37885.0,323834.0
Pilar,Buenos Aires,105.0,109.0,102.0,11.0,34493.0,49944.0,34708.0,274469.0
Florencio Varela,Buenos Aires,98.0,98.0,102.0,6.0,44663.0,64455.0,43778.0,335207.0
General San Martín,Buenos Aires,100.0,96.0,95.0,16.0,28038.0,44539.0,32905.0,339021.0
Bahía Blanca,Buenos Aires,95.0,94.0,81.0,21.0,22621.0,33944.0,23373.0,254567.0
Avellaneda,Buenos Aires,120.0,93.0,78.0,16.0,22784.0,37082.0,26833.0,279418.0
San Miguel,Buenos Aires,87.0,92.0,96.0,12.0,24752.0,37035.0,25528.0,240335.0
Berazategui,Buenos Aires,101.0,92.0,96.0,9.0,25806.0,41462.0,29661.0,261399.0
San Isidro,Buenos Aires,97.0,90.0,88.0,14.0,17057.0,26323.0,20726.0,231872.0
Morón,Buenos Aires,102.0,90.0,86.0,17.0,18044.0,28780.0,22137.0,260556.0
Tres de Febrero,Buenos Aires,108.0,87.0,82.0,9.0,21166.0,33616.0,24896.0,282641.0
Malvinas Argentinas,Buenos Aires,78.0,81.0,86.0,2.0,25943.0,40319.0,29110.0,254029.0
Vicente López,Buenos Aires,106.0,76.0,69.0,14.0,14893.0,22610.0,17663.0,225375.0
Escobar,Buenos Aires,76.0,75.0,76.0,6.0,21900.0,31983.0,21525.0,180663.0
Olavarría,Buenos Aires,59.0,73.0,42.0,10.0,8554.0,13055.0,9550.0,90852.0
Esteban Echeverría,Buenos Aires,71.0,71.0,72.0,2.0,27670.0,41112.0,28521.0,240577.0
