provincia,sum(poblacion),"sum(""Cantidad de EE"")",sum(EmpresasExportadoras_EmpleanMujeres)
Santa Fe,55463.0,189.0,14.0
Entre Ríos,55284.0,173.0,32.0
Santiago del Estero,53879.0,97.0,9.0
Buenos Aires,52409.0,105.0,53.0
Mendoza,52379.0,128.0,35.0
Buenos Aires,52366.0,112.0,39.0
Entre Ríos,52312.0,142.0,30.0
Misiones,52166.0,132.0,27.0
Corrientes,51489.0,97.0,20.0
Salta,50961.0,54.0,17.0
Misiones,50503.0,100.0,26.0
Chubut,49965.0,101.0,31.0
Corrientes,49807.0,83.0,25.0
Misiones,49391.0,145.0,28.0
Buenos Aires,49128.0,130.0,56.0
Santa Fe,48544.0,74.0,113.0
Buenos Aires,48516.0,103.0,67.0
Salta,48028.0,58.0,26.0
Mendoza,47086.0,142.0,28.0
Santa Fe,46486.0,116.0,26.0
Mendoza,46472.0,84.0,38.0
Santiago del Estero,46304.0,87.0,2.0
Buenos Aires,46227.0,71.0,25.0
Corrientes,45602.0,79.0,21.0
Neuquén,45540.0,65.0,28.0
Tucumán,45459.0,103.0,9.0
Misiones,45456.0,193.0,9.0
Buenos Aires,45307.0,81.0,29.0
Buenos Aires,45191.0,113.0,30.0
Buenos Aires,44594.0,108.0,32.0
Corrientes,44369.0,82.0,18.0
San Juan,44017.0,80.0,28.0
Santiago del Estero,43692.0,101.0,0.0
Entre Ríos,42954.0,166.0,21.0
Tucumán,42669.0,52.0,26.0
Buenos Aires,42191.0,95.0,23.0
Córdoba,42029.0,119.0,9.0
Buenos Aires,41713.0,104.0,34.0
Buenos Aires,41418.0,93.0,28.0
Mendoza,41168.0,63.0,128.0
Río Negro,41160.0,86.0,38.0
Corrientes,40406.0,92.0,2.0
Santiago del Estero,40352.0,117.0,19.0
Entre Ríos,40301.0,123.0,23.0
San Luis,40289.0,64.0,19.0
Buenos Aires,40036.0,62.0,27.0
Mendoza,39752.0,109.0,106.0
Buenos Aires,39648.0,67.0,42.0
Neuquén,39567.0,53.0,33.0
Buenos Aires,39257.0,66.0,58.0
Buenos Aires,39224.0,42.0,25.0
Buenos Aires,39223.0,94.0,25.0
Corrientes,39168.0,107.0,10.0
Corrientes,38767.0,77.0,26.0
Misiones,38620.0,83.0,25.0
Salta,38062.0,131.0,0.0
Chaco,37794.0,122.0,8.0
Córdoba,37551.0,83.0,34.0
Buenos Aires,37499.0,97.0,22.0
Buenos Aires,37325.0,45.0,9.0
Buenos Aires,37194.0,108.0,23.0
Tucumán,36946.0,82.0,3.0
Córdoba,36064.0,91.0,27.0
Córdoba,36023.0,81.0,2.0
Santiago del Estero,35653.0,112.0,2.0
Río Negro,35473.0,56.0,26.0
Buenos Aires,35423.0,87.0,32.0
Buenos Aires,35411.0,118.0,9.0
Buenos Aires,35055.0,90.0,39.0
Misiones,34945.0,71.0,14.0
Tucumán,34745.0,42.0,7.0
Misiones,34690.0,133.0,0.0
Chaco,34493.0,86.0,31.0
Catamarca,33951.0,44.0,9.0
Salta,33750.0,50.0,31.0
Santa Fe,33180.0,88.0,11.0
Buenos Aires,32973.0,71.0,8.0
Chaco,32606.0,79.0,0.0
Mendoza,32596.0,78.0,34.0
Buenos Aires,32552.0,90.0,53.0
Chaco,32430.0,100.0,1.0
Buenos Aires,32350.0,73.0,18.0
Buenos Aires,32077.0,61.0,28.0
Buenos Aires,31405.0,56.0,5.0
San Juan,31281.0,43.0,14.0
Entre Ríos,31091.0,96.0,10.0
Santa Fe,30942.0,125.0,24.0
Misiones,30877.0,138.0,1.0
Catamarca,30353.0,133.0,12.0
Chaco,30223.0,81.0,8.0
Neuquén,29721.0,39.0,52.0
Entre Ríos,29436.0,118.0,2.0
Corrientes,29126.0,71.0,5.0
Chubut,28099.0,78.0,15.0
Chaco,28060.0,108.0,4.0
Buenos Aires,27406.0,53.0,37.0
San Juan,27188.0,70.0,45.0
Buenos Aires,27136.0,74.0,9.0
Catamarca,26822.0,94.0,8.0
Buenos Aires,26695.0,67.0,21.0
San Luis,26522.0,49.0,36.0
Buenos Aires,26399.0,83.0,20.0
Chaco,26354.0,97.0,2.0
Catamarca,26341.0,101.0,9.0
Corrientes,26270.0,76.0,10.0
Santiago del Estero,26193.0,114.0,2.0
Jujuy,25831.0,61.0,2.0
Buenos Aires,25619.0,64.0,56.0
Santiago del Estero,25462.0,85.0,2.0
Santa Cruz,25384.0,31.0,21.0
San Juan,25269.0,90.0,18.0
Catamarca,25254.0,93.0,7.0
Santa Fe,24853.0,53.0,7.0
Salta,24715.0,31.0,8.0
Buenos Aires,24616.0,52.0,20.0
Buenos Aires,24110.0,64.0,13.0
Santiago del Estero,24047.0,94.0,2.0
San Luis,23653.0,79.0,9.0
Tucumán,23438.0,65.0,5.0
Chaco,23179.0,71.0,10.0
Misiones,23080.0,71.0,4.0
Buenos Aires,22905.0,71.0,20.0
Corrientes,22682.0,54.0,2.0
Buenos Aires,22653.0,72.0,14.0
Buenos Aires,22566.0,69.0,14.0
Buenos Aires,22530.0,50.0,5.0
Córdoba,22473.0,63.0,39.0
Tucumán,22382.0,54.0,0.0
Chaco,21948.0,67.0,7.0
Buenos Aires,21757.0,79.0,6.0
Chaco,21544.0,84.0,0.0
Buenos Aires,21407.0,59.0,17.0
Corrientes,21381.0,64.0,0.0
Tucumán,21196.0,40.0,12.0
Buenos Aires,21185.0,49.0,14.0
Jujuy,20877.0,68.0,0.0
Neuquén,20853.0,44.0,6.0
San Juan,20824.0,65.0,15.0
Entre Ríos,20786.0,45.0,34.0
Buenos Aires,20674.0,45.0,9.0
Santiago del Estero,20567.0,76.0,0.0
Jujuy,20497.0,32.0,0.0
Santiago del Estero,20246.0,109.0,0.0
Santiago del Estero,20104.0,84.0,6.0
Buenos Aires,19888.0,67.0,10.0
Buenos Aires,19735.0,55.0,17.0
Corrientes,19679.0,54.0,4.0
Catamarca,19545.0,59.0,11.0
Catamarca,19471.0,74.0,0.0
Mendoza,19379.0,81.0,37.0
Formosa,19275.0,80.0,0.0
Formosa,19089.0,95.0,2.0
Chaco,18696.0,71.0,0.0
Santiago del Estero,18622.0,81.0,2.0
Buenos Aires,18328.0,56.0,11.0
Neuquén,18289.0,37.0,0.0
Neuquén,18150.0,26.0,36.0
Buenos Aires,18106.0,73.0,17.0
Buenos Aires,17980.0,44.0,29.0
Corrientes,17948.0,60.0,4.0
La Pampa,17927.0,21.0,0.0
Salta,17822.0,23.0,35.0
La Pampa,17686.0,42.0,4.0
Formosa,17678.0,137.0,0.0
La Pampa,17356.0,46.0,11.0
Buenos Aires,17345.0,54.0,16.0
Buenos Aires,17344.0,63.0,3.0
Buenos Aires,17153.0,48.0,18.0
Formosa,17017.0,63.0,0.0
Corrientes,17016.0,74.0,3.0
Entre Ríos,16717.0,63.0,0.0
Río Negro,16555.0,60.0,8.0
Río Negro,16493.0,28.0,8.0
Buenos Aires,16491.0,58.0,2.0
Buenos Aires,16391.0,58.0,6.0
La Rioja,16251.0,38.0,17.0
Buenos Aires,16231.0,44.0,13.0
Chaco,16045.0,58.0,0.0
San Luis,16044.0,48.0,12.0
Buenos Aires,15882.0,37.0,18.0
Buenos Aires,15795.0,57.0,0.0
La Rioja,15764.0,69.0,0.0
La Rioja,15630.0,54.0,2.0
Formosa,15600.0,140.0,0.0
Tucumán,15539.0,63.0,0.0
Neuquén,15502.0,26.0,6.0
Córdoba,15275.0,70.0,0.0
Corrientes,15164.0,53.0,7.0
La Pampa,15094.0,36.0,7.0
Chaco,15061.0,64.0,2.0
San Juan,15037.0,39.0,16.0
Santa Cruz,15035.0,21.0,6.0
Santiago del Estero,15008.0,65.0,4.0
Jujuy,14998.0,52.0,2.0
Santiago del Estero,14894.0,42.0,0.0
Catamarca,14624.0,32.0,0.0
Jujuy,14621.0,34.0,0.0
Buenos Aires,14591.0,53.0,6.0
Chubut,14477.0,26.0,4.0
San Luis,14334.0,32.0,17.0
Chaco,14265.0,42.0,0.0
Buenos Aires,14141.0,53.0,2.0
Córdoba,14092.0,72.0,3.0
Buenos Aires,14007.0,56.0,1.0
Entre Ríos,13984.0,68.0,2.0
Chaco,13938.0,38.0,0.0
Buenos Aires,13901.0,57.0,11.0
Chaco,13775.0,43.0,10.0
Catamarca,13317.0,47.0,8.0
Buenos Aires,12906.0,38.0,20.0
Buenos Aires,12847.0,48.0,2.0
Buenos Aires,12842.0,39.0,9.0
Santa Cruz,12828.0,13.0,31.0
Chaco,12807.0,29.0,3.0
Santiago del Estero,12775.0,64.0,0.0
Corrientes,12700.0,39.0,5.0
Santa Cruz,12584.0,18.0,25.0
Chubut,12505.0,34.0,9.0
San Juan,12498.0,19.0,18.0
Santiago del Estero,12336.0,60.0,2.0
La Pampa,12277.0,32.0,20.0
Salta,12246.0,20.0,0.0
Catamarca,12219.0,48.0,7.0
Buenos Aires,12161.0,35.0,0.0
Mendoza,12018.0,33.0,6.0
Corrientes,11946.0,28.0,0.0
Buenos Aires,11736.0,41.0,0.0
Buenos Aires,11662.0,57.0,9.0
La Pampa,11636.0,26.0,5.0
Corrientes,11541.0,32.0,0.0
Buenos Aires,11535.0,44.0,0.0
Buenos Aires,11496.0,41.0,2.0
La Rioja,11371.0,42.0,2.0
Buenos Aires,11253.0,36.0,8.0
Santiago del Estero,11183.0,58.0,1.0
La Pampa,11090.0,39.0,5.0
La Pampa,11053.0,30.0,8.0
Santiago del Estero,10809.0,24.0,17.0
Buenos Aires,10759.0,31.0,11.0
Buenos Aires,10695.0,49.0,3.0
San Juan,10667.0,47.0,11.0
Chaco,10643.0,47.0,1.0
Buenos Aires,10581.0,28.0,0.0
Corrientes,10382.0,42.0,3.0
Misiones,10303.0,37.0,2.0
Neuquén,10173.0,37.0,9.0
San Juan,10172.0,41.0,4.0
Buenos Aires,10150.0,56.0,4.0
Santiago del Estero,9766.0,34.0,0.0
Buenos Aires,9551.0,32.0,0.0
Salta,9411.0,54.0,0.0
La Pampa,9397.0,24.0,2.0
Buenos Aires,9344.0,22.0,3.0
Río Negro,9309.0,36.0,0.0
Neuquén,9267.0,38.0,2.0
Santiago del Estero,9251.0,42.0,0.0
La Pampa,9243.0,28.0,0.0
Buenos Aires,9090.0,26.0,1.0
Corrientes,9051.0,25.0,4.0
Santiago del Estero,8959.0,25.0,1.0
Salta,8928.0,26.0,2.0
Buenos Aires,8918.0,26.0,2.0
Salta,8888.0,19.0,3.0
San Juan,8826.0,38.0,16.0
Neuquén,8471.0,24.0,0.0
Buenos Aires,8444.0,20.0,0.0
San Juan,8425.0,57.0,2.0
La Pampa,8404.0,24.0,6.0
Chaco,8310.0,33.0,8.0
La Pampa,8225.0,19.0,23.0
Salta,7779.0,30.0,0.0
La Pampa,7713.0,17.0,9.0
Neuquén,7696.0,20.0,0.0
La Rioja,7615.0,45.0,0.0
Río Negro,7398.0,23.0,0.0
La Rioja,7347.0,47.0,0.0
Salta,7182.0,18.0,15.0
Salta,7182.0,13.0,0.0
Buenos Aires,7112.0,22.0,2.0
La Rioja,6984.0,40.0,0.0
Río Negro,6960.0,32.0,6.0
Jujuy,6729.0,9.0,0.0
San Juan,6674.0,13.0,2.0
San Juan,6454.0,13.0,0.0
Chubut,6347.0,26.0,0.0
Santa Cruz,6271.0,11.0,3.0
Buenos Aires,6170.0,27.0,5.0
Salta,6116.0,36.0,0.0
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",6027.0,1.0,6.0
Chubut,5947.0,16.0,8.0
La Rioja,5810.0,20.0,11.0
Salta,5808.0,24.0,10.0
La Pampa,5637.0,17.0,4.0
San Luis,5575.0,47.0,2.0
Neuquén,5572.0,26.0,0.0
Santiago del Estero,5314.0,26.0,2.0
