provincia,sum(poblacion),"sum(""Cantidad de EE"")",sum(EmpresasExportadoras_EmpleanMujeres)
Buenos Aires,16231.0,44.0,115.0
Chaco,16045.0,58.0,35.0
San Luis,16044.0,48.0,107.0
Buenos Aires,15882.0,37.0,127.0
Buenos Aires,15795.0,57.0,126.0
La Rioja,15764.0,69.0,43.0
La Rioja,15630.0,54.0,73.0
Formosa,15600.0,140.0,28.0
Tucumán,15539.0,63.0,22.0
Neuquén,15502.0,26.0,166.0
Córdoba,15275.0,70.0,61.0
Corrientes,15164.0,53.0,53.0
La Pampa,15094.0,36.0,126.0
Chaco,15061.0,64.0,13.0
San Juan,15037.0,39.0,34.0
Santa Cruz,15035.0,21.0,84.0
Santiago del Estero,15008.0,65.0,46.0
Jujuy,14998.0,52.0,61.0
Santiago del Estero,14894.0,42.0,6.0
Catamarca,14624.0,32.0,60.0
Jujuy,14621.0,34.0,43.0
Buenos Aires,14591.0,53.0,142.0
Chubut,14477.0,26.0,95.0
San Luis,14334.0,32.0,71.0
Chaco,14265.0,42.0,49.0
Buenos Aires,14141.0,53.0,98.0
Córdoba,14092.0,72.0,55.0
Buenos Aires,14007.0,56.0,85.0
Entre Ríos,13984.0,68.0,74.0
Chaco,13938.0,38.0,82.0
Buenos Aires,13901.0,57.0,144.0
Chaco,13775.0,43.0,74.0
Catamarca,13317.0,47.0,50.0
Buenos Aires,12906.0,38.0,110.0
Buenos Aires,12847.0,48.0,113.0
Buenos Aires,12842.0,39.0,86.0
Santa Cruz,12828.0,13.0,106.0
Chaco,12807.0,29.0,50.0
Santiago del Estero,12775.0,64.0,19.0
Corrientes,12700.0,39.0,31.0
Santa Cruz,12584.0,18.0,115.0
Chubut,12505.0,34.0,110.0
San Juan,12498.0,19.0,31.0
Santiago del Estero,12336.0,60.0,44.0
La Pampa,12277.0,32.0,111.0
Salta,12246.0,20.0,24.0
Catamarca,12219.0,48.0,41.0
Buenos Aires,12161.0,35.0,73.0
Mendoza,12018.0,33.0,32.0
Corrientes,11946.0,28.0,32.0
Buenos Aires,11736.0,41.0,92.0
Buenos Aires,11662.0,57.0,109.0
La Pampa,11636.0,26.0,87.0
Corrientes,11541.0,32.0,27.0
Buenos Aires,11535.0,44.0,87.0
Buenos Aires,11496.0,41.0,87.0
La Rioja,11371.0,42.0,43.0
Buenos Aires,11253.0,36.0,83.0
Santiago del Estero,11183.0,58.0,11.0
La Pampa,11090.0,39.0,77.0
La Pampa,11053.0,30.0,106.0
Santiago del Estero,10809.0,24.0,99.0
Buenos Aires,10759.0,31.0,93.0
Buenos Aires,10695.0,49.0,78.0
San Juan,10667.0,47.0,76.0
Chaco,10643.0,47.0,27.0
Buenos Aires,10581.0,28.0,90.0
Corrientes,10382.0,42.0,50.0
Misiones,10303.0,37.0,33.0
Neuquén,10173.0,37.0,63.0
San Juan,10172.0,41.0,28.0
Buenos Aires,10150.0,56.0,82.0
Santiago del Estero,9766.0,34.0,24.0
Buenos Aires,9551.0,32.0,80.0
Salta,9411.0,54.0,4.0
La Pampa,9397.0,24.0,83.0
Buenos Aires,9344.0,22.0,89.0
Río Negro,9309.0,36.0,68.0
Neuquén,9267.0,38.0,23.0
Santiago del Estero,9251.0,42.0,15.0
La Pampa,9243.0,28.0,65.0
Buenos Aires,9090.0,26.0,76.0
Corrientes,9051.0,25.0,47.0
Santiago del Estero,8959.0,25.0,31.0
Salta,8928.0,26.0,32.0
Buenos Aires,8918.0,26.0,68.0
Salta,8888.0,19.0,24.0
San Juan,8826.0,38.0,88.0
Neuquén,8471.0,24.0,43.0
Buenos Aires,8444.0,20.0,95.0
San Juan,8425.0,57.0,33.0
La Pampa,8404.0,24.0,84.0
Chaco,8310.0,33.0,55.0
La Pampa,8225.0,19.0,78.0
Salta,7779.0,30.0,11.0
La Pampa,7713.0,17.0,74.0
Neuquén,7696.0,20.0,49.0
La Rioja,7615.0,45.0,28.0
Río Negro,7398.0,23.0,70.0
La Rioja,7347.0,47.0,11.0
Salta,7182.0,18.0,41.0
Salta,7182.0,13.0,20.0
Buenos Aires,7112.0,22.0,72.0
La Rioja,6984.0,40.0,16.0
Río Negro,6960.0,32.0,17.0
Jujuy,6729.0,9.0,14.0
San Juan,6674.0,13.0,8.0
San Juan,6454.0,13.0,5.0
Chubut,6347.0,26.0,45.0
Santa Cruz,6271.0,11.0,64.0
Buenos Aires,6170.0,27.0,85.0
Salta,6116.0,36.0,2.0
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",6027.0,1.0,42.0
Chubut,5947.0,16.0,42.0
La Rioja,5810.0,20.0,17.0
Salta,5808.0,24.0,24.0
La Pampa,5637.0,17.0,47.0
San Luis,5575.0,47.0,18.0
Neuquén,5572.0,26.0,13.0
Santiago del Estero,5314.0,26.0,48.0
Jujuy,5298.0,24.0,36.0
Catamarca,5087.0,35.0,20.0
Neuquén,5087.0,14.0,28.0
Córdoba,5070.0,43.0,15.0
Santiago del Estero,5034.0,27.0,18.0
La Rioja,5017.0,50.0,15.0
Córdoba,4855.0,45.0,42.0
Buenos Aires,4846.0,28.0,57.0
Neuquén,4832.0,13.0,44.0
Catamarca,4696.0,35.0,18.0
San Luis,4691.0,58.0,16.0
Buenos Aires,4615.0,32.0,23.0
Córdoba,4381.0,25.0,22.0
Catamarca,4375.0,57.0,14.0
La Rioja,4306.0,21.0,10.0
Río Negro,4300.0,24.0,29.0
Chaco,4051.0,23.0,18.0
La Rioja,4013.0,42.0,1.0
Jujuy,3966.0,19.0,26.0
Río Negro,3682.0,27.0,13.0
Salta,3491.0,15.0,16.0
Catamarca,3282.0,44.0,3.0
La Rioja,3184.0,29.0,1.0
Buenos Aires,3157.0,22.0,23.0
La Rioja,2994.0,3.0,8.0
La Pampa,2868.0,8.0,15.0
Chubut,2862.0,12.0,15.0
Corrientes,2808.0,10.0,15.0
La Rioja,2695.0,12.0,13.0
Jujuy,2641.0,25.0,7.0
Neuquén,2641.0,17.0,8.0
La Pampa,2611.0,8.0,21.0
Buenos Aires,2528.0,13.0,17.0
Jujuy,2490.0,14.0,8.0
La Rioja,2399.0,15.0,6.0
La Rioja,1885.0,9.0,5.0
Chubut,1882.0,8.0,16.0
Catamarca,1822.0,12.0,17.0
Jujuy,1797.0,20.0,20.0
Salta,1789.0,12.0,7.0
Chubut,1782.0,4.0,9.0
Chubut,1608.0,8.0,8.0
La Pampa,1461.0,10.0,6.0
Río Negro,1452.0,22.0,7.0
Santiago del Estero,1440.0,14.0,5.0
Chubut,1181.0,10.0,8.0
La Pampa,1103.0,8.0,11.0
Chubut,744.0,3.0,9.0
La Pampa,428.0,4.0,4.0
La Pampa,413.0,5.0,20.0
