Departamento,provincia,Poblacion,Cantidad de EE,EmpresasExportadoras_EmpleanMujeres
Rawson,San Juan,136582.0,141,269
Constitución,Santa Fe,93000.0,140,317
Mayor Luis J. Fontana,Chaco,59798.0,140,172
Bermejo,Formosa,15600.0,140,28
Iriondo,Santa Fe,73636.0,138,326
25 de Mayo,Misiones,30877.0,138,73
Ramón Lista,Formosa,17678.0,137,1
Orán,Salta,159715.0,135,244
Caseros,Santa Fe,86261.0,134,333
Adolfo Alsina,Río Negro,63845.0,134,284
Tafí Viejo,Tucumán,172877.0,134,217
Leales,Tucumán,66352.0,134,73
Juárez Celman,Córdoba,68317.0,133,269
Belén,Catamarca,30353.0,133,97
San Pedro,Misiones,34690.0,133,25
Mercedes,Buenos Aires,71002.0,132,300
Libertador General San Martín,Misiones,52166.0,132,162
Rivadavia,Salta,38062.0,131,43
Trenque Lauquen,Buenos Aires,49128.0,130,279
Colón,Entre Ríos,74890.0,129,280
San Javier,Córdoba,62700.0,129,232
General Pedernera,San Luis,148671.0,128,393
San Martín,Santa Fe,67299.0,128,282
General Alvear,Mendoza,52379.0,128,228
Chivilcoy,Buenos Aires,70554.0,127,318
Gualeguay,Entre Ríos,56796.0,127,236
9 de Julio,Santa Fe,30942.0,125,142
General Rodríguez,Buenos Aires,142315.0,124,321
San Pedro,Buenos Aires,68353.0,124,287
Victoria,Entre Ríos,40301.0,123,202
Almirante Brown,Chaco,37794.0,122,91
San Alberto,Córdoba,42029.0,119,144
Tres Arroyos,Buenos Aires,61889.0,118,306
25 de Mayo,Buenos Aires,35411.0,118,181
Federal,Entre Ríos,29436.0,118,139
Moreno,Santiago del Estero,40352.0,117,103
San Justo,Santa Fe,46486.0,116,198
San Pedro,Jujuy,88237.0,114,173
Pellegrini,Santiago del Estero,26193.0,114,42
Comuna 2,Ciudad Autónoma de Buenos Aires,160609.0,113,601
Río Grande,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",98922.0,113,337
Lincoln,Buenos Aires,45191.0,113,247
9 de Julio,Buenos Aires,52366.0,112,265
Copo,Santiago del Estero,35653.0,112,71
Rivadavia,San Juan,101334.0,109,196
San Carlos,Mendoza,39752.0,109,129
Figueroa,Santiago del Estero,20246.0,109,20
Cañuelas,Buenos Aires,70542.0,108,305
Pehuajó,Buenos Aires,44594.0,108,231
Bolívar,Buenos Aires,37194.0,108,215
Bermejo,Chaco,28060.0,108,50
Esquina,Corrientes,39168.0,107,101
Ushuaia,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",80009.0,105,323
Chacabuco,Buenos Aires,52409.0,105,272
Berisso,Buenos Aires,100685.0,105,247
Coronel Suárez,Buenos Aires,41713.0,104,259
Balcarce,Buenos Aires,48516.0,103,272
Santo Tomé,Corrientes,71922.0,103,219
Chimbas,San Juan,103772.0,103,185
Burruyacú,Tucumán,45459.0,103,62
Anta,Salta,69442.0,102,161
Futaleufú,Chubut,49965.0,101,236
El Carmen,Jujuy,122259.0,101,204
Choya,Santiago del Estero,43692.0,101,128
La Paz,Catamarca,26341.0,101,72
Tunuyán,Mendoza,59972.0,100,215
Chicligasta,Tucumán,92308.0,100,202
Apóstoles,Misiones,50503.0,100,159
Quitilipi,Chaco,32430.0,100,96
Biedma,Chubut,102806.0,97,372
Rivadavia,Mendoza,63589.0,97,200
Patagones,Buenos Aires,37499.0,97,177
Curuzú Cuatiá,Corrientes,51489.0,97,162
Robles,Santiago del Estero,53879.0,97,116
Maipú,Chaco,26354.0,97,72
Maracó,La Pampa,69067.0,96,338
Tala,Entre Ríos,31091.0,96,126
Chascomús,Buenos Aires,42191.0,95,238
Pilagás,Formosa,19089.0,95,25
Baradero,Buenos Aires,39223.0,94,225
Santa María,Catamarca,26822.0,94,98
Loreto,Santiago del Estero,24047.0,94,60
La Costa,Buenos Aires,100400.0,93,265
Lobos,Buenos Aires,41418.0,93,241
Coronel de Marina Leonardo Rosales,Buenos Aires,65823.0,93,210
Tinogasta,Catamarca,25254.0,93,81
San Vicente,Buenos Aires,97929.0,92,218
Ledesma,Jujuy,94132.0,92,172
Lavalle,Corrientes,40406.0,92,70
Yerba Buena,Tucumán,102589.0,91,325
General Roca,Córdoba,36064.0,91,154
General Villegas,Buenos Aires,35055.0,90,219
Villarino,Buenos Aires,32552.0,90,170
Jáchal,San Juan,25269.0,90,99
San Javier,Santa Fe,33180.0,88,121
Saladillo,Buenos Aires,35423.0,87,221
General Taboada,Santiago del Estero,46304.0,87,104
Chacabuco,Chaco,34493.0,86,188
Avellaneda,Río Negro,41160.0,86,188
Lules,Tucumán,93464.0,86,160
Monteros,Tucumán,77469.0,85,160
Avellaneda,Santiago del Estero,25462.0,85,42
Junín,Mendoza,46472.0,84,132
O'Higgins,Chaco,21544.0,84,52
Alberdi,Santiago del Estero,20104.0,84,44
Marcos Paz,Buenos Aires,64761.0,83,206
Presidente Roque Sáenz Peña,Córdoba,37551.0,83,206
San Andrés de Giles,Buenos Aires,26399.0,83,187
Pocito,San Juan,72879.0,83,177
Mercedes,Corrientes,49807.0,83,152
Montecarlo,Misiones,38620.0,83,131
Chilecito,La Rioja,58681.0,82,184
Bella Vista,Corrientes,44369.0,82,139
Simoca,Tucumán,36946.0,82,58
General Alvarado,Buenos Aires,45307.0,81,222
