Departamento,provincia,Jardines,Primarias,Secundarias,Superiores No Universitarios,Poblacion Jardines,Poblacion Primarias,Poblacion Secundarias,Poblacion Superiores No Universitarios
TRES ARROYOS,BUENOS AIRES,35.0,43.0,22.0,3.0,4260.0,6392.0,4607.0,46630.0
CAMPANA,BUENOS AIRES,40.0,42.0,42.0,7.0,8120.0,12587.0,9056.0,78213.0
LINCOLN,BUENOS AIRES,31.0,41.0,18.0,4.0,3480.0,4674.0,3498.0,33539.0
LAS FLORES,BUENOS AIRES,15.0,39.0,10.0,1.0,1982.0,2771.0,2104.0,20279.0
CAÑUELAS,BUENOS AIRES,29.0,38.0,30.0,1.0,6225.0,9538.0,6304.0,48475.0
BALCARCE,BUENOS AIRES,31.0,38.0,20.0,3.0,3638.0,5070.0,3551.0,36257.0
CHASCOMUS,BUENOS AIRES,23.0,38.0,18.0,5.0,3167.0,4976.0,3596.0,30452.0
BOLIVAR,BUENOS AIRES,30.0,37.0,15.0,3.0,2830.0,3857.0,2723.0,27784.0
SALADILLO,BUENOS AIRES,25.0,37.0,13.0,3.0,2716.0,3785.0,2821.0,26101.0
VILLARINO,BUENOS AIRES,23.0,35.0,15.0,2.0,2586.0,3677.0,2767.0,23522.0
LOBOS,BUENOS AIRES,29.0,35.0,15.0,2.0,3294.0,4668.0,3370.0,30086.0
CORONEL SUAREZ,BUENOS AIRES,33.0,34.0,22.0,3.0,2881.0,4418.0,3004.0,31410.0
PEHUAJO,BUENOS AIRES,28.0,34.0,18.0,5.0,3474.0,4827.0,3684.0,32609.0
GENERAL RODRIGUEZ,BUENOS AIRES,36.0,33.0,33.0,3.0,14137.0,20970.0,13235.0,93973.0
GENERAL VILLEGAS,BUENOS AIRES,30.0,32.0,16.0,2.0,2797.0,4006.0,2911.0,25341.0
LOBERIA,BUENOS AIRES,19.0,32.0,10.0,1.0,1302.0,1865.0,1387.0,13552.0
NAVARRO,BUENOS AIRES,19.0,30.0,9.0,2.0,1501.0,2341.0,1742.0,14304.0
PATAGONES,BUENOS AIRES,24.0,30.0,15.0,2.0,2857.0,4262.0,2834.0,27546.0
SAN VICENTE,BUENOS AIRES,28.0,30.0,20.0,3.0,9859.0,14032.0,9255.0,64783.0
SAN ANDRES DE GILES,BUENOS AIRES,27.0,29.0,16.0,2.0,2151.0,3031.0,2156.0,19061.0
BERISSO,BUENOS AIRES,25.0,28.0,26.0,3.0,7704.0,11779.0,8106.0,73096.0
BARADERO,BUENOS AIRES,29.0,27.0,19.0,2.0,3225.0,4372.0,3197.0,28429.0
MAR CHIQUITA,BUENOS AIRES,19.0,26.0,11.0,2.0,2519.0,3622.0,2553.0,24279.0
LA COSTA,BUENOS AIRES,27.0,25.0,21.0,3.0,7455.0,11364.0,8447.0,73134.0
ROQUE PEREZ,BUENOS AIRES,17.0,25.0,6.0,1.0,1104.0,1572.0,1122.0,10103.0
RAMALLO,BUENOS AIRES,12.0,24.0,11.0,2.0,3451.0,4707.0,3440.0,28050.0
RAUCH,BUENOS AIRES,18.0,24.0,7.0,1.0,1197.0,1761.0,1309.0,12224.0
MARCOS PAZ,BUENOS AIRES,22.0,24.0,18.0,0.0,5973.0,8477.0,6071.0,44240.0
GENERAL JUAN MADARIAGA,BUENOS AIRES,20.0,23.0,11.0,3.0,1548.0,2637.0,1997.0,16384.0
CARLOS CASARES,BUENOS AIRES,18.0,23.0,14.0,2.0,1731.0,2491.0,1796.0,16887.0
ROJAS,BUENOS AIRES,20.0,23.0,9.0,1.0,1851.0,2724.0,1984.0,19060.0
MAGDALENA,BUENOS AIRES,20.0,23.0,15.0,2.0,1935.0,2768.0,1883.0,16067.0
DOLORES,BUENOS AIRES,12.0,22.0,9.0,3.0,2569.0,3369.0,2537.0,22930.0
