Departamento,provincia,Jardines,Primarias,Secundarias,Superiores No Universitarios,Poblacion Jardines,Poblacion Primarias,Poblacion Secundarias,Poblacion Superiores No Universitarios
SAN ROQUE,CORRIENTES,24.0,28.0,9.0,5.0,2171.0,2726.0,1945.0,15840.0
SAN COSME,CORRIENTES,22.0,22.0,7.0,4.0,1633.0,2191.0,1423.0,14432.0
SAUCE,CORRIENTES,14.0,18.0,5.0,1.0,922.0,1251.0,935.0,7274.0
MBURUCUYA,CORRIENTES,13.0,17.0,5.0,1.0,1002.0,1317.0,1036.0,8186.0
ITATI,CORRIENTES,12.0,13.0,6.0,2.0,1136.0,1491.0,938.0,8381.0
BERON DE ASTRADA,CORRIENTES,3.0,5.0,2.0,2.0,231.0,301.0,246.0,2030.0
PARANA,ENTRE RIOS,232.0,225.0,141.0,25.0,27975.0,40780.0,28200.0,291761.0
COLON,ENTRE RIOS,164.0,166.0,100.0,16.0,5907.0,8095.0,5733.0,55155.0
LA PAZ,ENTRE RIOS,123.0,159.0,55.0,9.0,6549.0,9094.0,6216.0,53412.0
GUALEGUAYCHU,ENTRE RIOS,106.0,111.0,47.0,11.0,9410.0,13745.0,9887.0,92134.0
URUGUAY,ENTRE RIOS,86.0,96.0,50.0,3.0,8632.0,12543.0,9036.0,85305.0
VILLAGUAY,ENTRE RIOS,79.0,93.0,26.0,5.0,4679.0,6258.0,4500.0,39847.0
NOGOYA,ENTRE RIOS,72.0,90.0,26.0,4.0,3364.0,4731.0,3309.0,31550.0
CONCORDIA,ENTRE RIOS,104.0,90.0,57.0,11.0,17901.0,24910.0,16536.0,138256.0
FEDERACION,ENTRE RIOS,66.0,76.0,29.0,2.0,6876.0,9326.0,6175.0,55887.0
DIAMANTE,ENTRE RIOS,56.0,56.0,26.0,7.0,3847.0,5216.0,3650.0,39599.0
GUALEGUAY,ENTRE RIOS,47.0,56.0,22.0,7.0,4529.0,6359.0,4413.0,41495.0
FEDERAL,ENTRE RIOS,49.0,56.0,16.0,2.0,2629.0,3327.0,2303.0,21177.0
TALA,ENTRE RIOS,36.0,47.0,16.0,4.0,2477.0,3601.0,2507.0,22506.0
VICTORIA,ENTRE RIOS,41.0,46.0,30.0,6.0,3123.0,4259.0,3023.0,29896.0
FELICIANO,ENTRE RIOS,27.0,30.0,10.0,1.0,1461.0,2002.0,1463.0,11791.0
ISLAS DEL IBICUY,ENTRE RIOS,22.0,25.0,10.0,2.0,1271.0,1790.0,1218.0,9705.0
SAN SALVADOR,ENTRE RIOS,19.0,19.0,7.0,2.0,1743.0,2487.0,1823.0,14733.0
PATIÑO,FORMOSA,102.0,131.0,76.0,10.0,8070.0,11476.0,7431.0,54623.0
PIRANE,FORMOSA,68.0,100.0,67.0,5.0,6830.0,9417.0,6618.0,49695.0
BERMEJO,FORMOSA,70.0,91.0,33.0,8.0,1763.0,2371.0,1566.0,9900.0
FORMOSA,FORMOSA,99.0,89.0,65.0,17.0,21127.0,30764.0,21926.0,194755.0
PILCOMAYO,FORMOSA,68.0,60.0,45.0,7.0,8934.0,11883.0,7876.0,65423.0
RAMON LISTA,FORMOSA,34.0,59.0,14.0,2.0,2421.0,3239.0,2138.0,9880.0
PILAGAS,FORMOSA,27.0,34.0,19.0,2.0,1864.0,2530.0,1791.0,12904.0
MATACOS,FORMOSA,15.0,25.0,12.0,1.0,1918.0,2539.0,1730.0,10830.0
LAISHI,FORMOSA,21.0,23.0,18.0,4.0,1725.0,2496.0,1848.0,13206.0
SAN PEDRO,JUJUY,123.0,162.0,85.0,13.0,7205.0,10745.0,7175.0,63112.0
EL CARMEN,JUJUY,43.0,42.0,28.0,5.0,11018.0,15576.0,10910.0,84755.0
YAVI,JUJUY,36.0,36.0,8.0,2.0,2367.0,3247.0,2382.0,17835.0
HUMAHUACA,JUJUY,33.0,35.0,20.0,3.0,1752.0,2892.0,1956.0,14277.0
COCHINOCA,JUJUY,28.0,32.0,12.0,1.0,1322.0,2002.0,1492.0,10182.0
LEDESMA,JUJUY,31.0,27.0,17.0,8.0,8147.0,11518.0,7969.0,66498.0
PALPALA,JUJUY,21.0,22.0,13.0,3.0,4800.0,7650.0,5524.0,47548.0
SAN ANTONIO,JUJUY,20.0,21.0,10.0,3.0,539.0,820.0,521.0,4849.0
TILCARA,JUJUY,16.0,18.0,8.0,1.0,1063.0,1787.0,1330.0,10441.0
SANTA CATALINA,JUJUY,15.0,16.0,9.0,0.0,282.0,350.0,264.0,1745.0
SANTA BARBARA,JUJUY,14.0,15.0,10.0,1.0,1905.0,2848.0,1777.0,13967.0
TUMBAYA,JUJUY,15.0,15.0,6.0,0.0,375.0,631.0,389.0,3903.0
RINCONADA,JUJUY,12.0,13.0,6.0,0.0,170.0,292.0,152.0,1183.0
SUSQUES,JUJUY,9.0,10.0,8.0,1.0,439.0,604.0,406.0,2517.0
VALLE GRANDE,JUJUY,6.0,8.0,6.0,0.0,194.0,332.0,235.0,1729.0
DR. MANUEL BELGRANO,JUJUY,,,,,23048.0,36369.0,25045.0,235007.0
CAPITAL,LA PAMPA,1558.0,1336.0,1060.0,356.0,8258.0,12927.0,9176.0,88143.0
MARACO,LA PAMPA,26.0,25.0,22.0,3.0,5292.0,7633.0,5299.0,50843.0
UTRACAN,LA PAMPA,12.0,14.0,10.0,1.0,1321.0,2084.0,1459.0,12822.0
REALICO,LA PAMPA,9.0,12.0,11.0,0.0,1232.0,1924.0,1443.0,12757.0
RANCUL,LA PAMPA,10.0,11.0,9.0,0.0,853.0,1281.0,972.0,7984.0
CONHELO,LA PAMPA,10.0,10.0,10.0,1.0,1023.0,1567.0,1046.0,11458.0
CHAPALEUFU,LA PAMPA,9.0,9.0,9.0,0.0,960.0,1353.0,996.0,8968.0
ATREUCO,LA PAMPA,8.0,8.0,6.0,2.0,769.0,1146.0,847.0,8291.0
PUELEN,LA PAMPA,8.0,8.0,6.0,0.0,1095.0,1576.0,1000.0,7965.0
LOVENTUE,LA PAMPA,6.0,7.0,7.0,1.0,647.0,993.0,745.0,6858.0
QUEMU QUEMU,LA PAMPA,5.0,7.0,5.0,1.0,600.0,825.0,697.0,6282.0
TOAY,LA PAMPA,7.0,7.0,4.0,1.0,1540.0,2436.0,1538.0,12413.0
GUATRACHE,LA PAMPA,5.0,7.0,6.0,1.0,690.0,894.0,696.0,7117.0
CATRILO,LA PAMPA,5.0,6.0,4.0,0.0,648.0,1019.0,673.0,5885.0
HUCAL,LA PAMPA,5.0,5.0,4.0,1.0,486.0,693.0,525.0,6009.0
TRENEL,LA PAMPA,4.0,4.0,4.0,0.0,435.0,580.0,427.0,4195.0
CHICAL CO,LA PAMPA,3.0,3.0,2.0,0.0,110.0,180.0,135.0,1036.0
CALEU CALEU,LA PAMPA,2.0,3.0,1.0,0.0,194.0,325.0,255.0,1837.0
LIMAY MAHUIDA,LA PAMPA,2.0,2.0,1.0,0.0,33.0,46.0,19.0,315.0
CURACO,LA PAMPA,2.0,2.0,2.0,0.0,99.0,125.0,81.0,798.0
CHALILEO,LA PAMPA,1.0,2.0,2.0,1.0,201.0,354.0,235.0,2078.0
LIHUEL CALEL,LA PAMPA,1.0,1.0,1.0,0.0,39.0,52.0,39.0,298.0
CAPITAL,LA RIOJA,1558.0,1336.0,1060.0,356.0,15697.0,23293.0,16804.0,154713.0
GENERAL SAN MARTIN,LA RIOJA,194.0,199.0,146.0,30.0,394.0,643.0,470.0,3510.0
GENERAL BELGRANO,LA RIOJA,33.0,49.0,28.0,6.0,621.0,784.0,608.0,5602.0
INDEPENDENCIA,LA RIOJA,24.0,38.0,14.0,4.0,209.0,291.0,225.0,1674.0
ROSARIO VERA PEÑALOZA,LA RIOJA,21.0,34.0,21.0,5.0,1310.0,1900.0,1337.0,11217.0
CHILECITO,LA RIOJA,30.0,31.0,19.0,4.0,4579.0,7038.0,5425.0,41639.0
CHAMICAL,LA RIOJA,13.0,24.0,15.0,2.0,1307.0,1589.0,1191.0,11543.0
FAMATINA,LA RIOJA,13.0,14.0,5.0,2.0,479.0,757.0,583.0,5165.0
ARAUCO,LA RIOJA,14.0,13.0,9.0,2.0,1353.0,1915.0,1324.0,11659.0
VINCHINA,LA RIOJA,6.0,7.0,4.0,1.0,224.0,294.0,209.0,1968.0
SAN BLAS DE LOS SAUCES,LA RIOJA,6.0,7.0,4.0,1.0,345.0,501.0,365.0,3095.0
CASTRO BARROS,LA RIOJA,6.0,7.0,3.0,1.0,409.0,626.0,422.0,4353.0
GENERAL LAMADRID,LA RIOJA,2.0,2.0,1.0,1.0,158.0,191.0,157.0,1379.0
SANAGASTA,LA RIOJA,1.0,1.0,1.0,0.0,230.0,361.0,222.0,2181.0
GENERAL JUAN FACUNDO QUIROGA,LA RIOJA,,,,,337.0,406.0,344.0,2926.0
GENERAL ORTIZ DE OCAMPO,LA RIOJA,,,,,567.0,765.0,573.0,5442.0
ANGEL VICENTE PEÑALOZA,LA RIOJA,,,,,255.0,392.0,256.0,2281.0
GENERAL FELIPE VARELA,LA RIOJA,,,,,829.0,1249.0,853.0,8440.0
CAPITAL,MENDOZA,1558.0,1336.0,1060.0,356.0,8283.0,11563.0,7894.0,95975.0
RIVADAVIA,MENDOZA,204.0,206.0,58.0,12.0,5261.0,7683.0,5149.0,45496.0
SAN MARTIN,MENDOZA,185.0,188.0,80.0,14.0,11642.0,17257.0,11269.0,99238.0
LA PAZ,MENDOZA,123.0,159.0,55.0,9.0,1018.0,1499.0,949.0,8552.0
MAIPU,MENDOZA,118.0,138.0,49.0,14.0,18163.0,26442.0,18280.0,156002.0
SAN RAFAEL,MENDOZA,161.0,130.0,54.0,12.0,17237.0,24756.0,16849.0,154362.0
JUNIN,MENDOZA,102.0,105.0,82.0,14.0,3662.0,5299.0,3623.0,33888.0
GUAYMALLEN,MENDOZA,107.0,87.0,47.0,7.0,25349.0,36996.0,25188.0,233338.0
LAVALLE,MENDOZA,99.0,85.0,31.0,8.0,4526.0,6674.0,4343.0,31543.0
GENERAL ALVEAR,MENDOZA,81.0,81.0,22.0,8.0,4069.0,6260.0,4145.0,37905.0
GODOY CRUZ,MENDOZA,87.0,67.0,33.0,11.0,13392.0,19838.0,14053.0,147274.0
LUJAN DE CUYO,MENDOZA,63.0,56.0,25.0,9.0,13914.0,20822.0,14798.0,122349.0
LAS HERAS,MENDOZA,81.0,55.0,28.0,5.0,19700.0,28992.0,20154.0,164993.0
SAN CARLOS,MENDOZA,66.0,51.0,17.0,3.0,3475.0,5109.0,3439.0,27729.0
SANTA ROSA,MENDOZA,41.0,47.0,14.0,5.0,1765.0,2509.0,1597.0,13508.0
TUNUYAN,MENDOZA,42.0,31.0,10.0,3.0,5158.0,7833.0,5236.0,41745.0
TUPUNGATO,MENDOZA,25.0,22.0,10.0,1.0,3810.0,5685.0,3793.0,27880.0
MALARGÜE,MENDOZA,,,,,2811.0,4345.0,2931.0,22509.0
CAPITAL,MISIONES,1558.0,1336.0,1060.0,356.0,33142.0,47460.0,31291.0,279605.0
25 DE MAYO,MISIONES,140.0,191.0,88.0,11.0,3369.0,4288.0,2780.0,20440.0
SAN PEDRO,MISIONES,123.0,162.0,85.0,13.0,4462.0,5727.0,3524.0,20977.0
GUARANI,MISIONES,93.0,143.0,61.0,4.0,8802.0,11433.0,7391.0,49449.0
SAN JAVIER,MISIONES,118.0,132.0,43.0,12.0,2346.0,3294.0,2101.0,15339.0
OBERA,MISIONES,99.0,108.0,67.0,8.0,11680.0,16152.0,10400.0,82471.0
LIBERTADOR GENERAL SAN MARTIN,MISIONES,56.0,100.0,29.0,14.0,5227.0,6927.0,4618.0,35394.0
CAINGUAS,MISIONES,88.0,99.0,59.0,6.0,6425.0,8762.0,5715.0,38973.0
GENERAL MANUEL BELGRANO,MISIONES,70.0,87.0,50.0,3.0,5458.0,6918.0,4325.0,28755.0
LEANDRO N. ALEM,MISIONES,67.0,80.0,46.0,7.0,4430.0,6082.0,4131.0,34748.0
IGUAZU,MISIONES,78.0,80.0,29.0,9.0,10641.0,14290.0,9234.0,65673.0
SAN IGNACIO,MISIONES,71.0,79.0,43.0,8.0,6498.0,8670.0,5609.0,42417.0
ELDORADO,MISIONES,61.0,70.0,29.0,6.0,8721.0,12100.0,8178.0,62134.0
CONCEPCION,MISIONES,40.0,55.0,11.0,4.0,1087.0,1384.0,944.0,6888.0
MONTECARLO,MISIONES,36.0,39.0,18.0,4.0,3674.0,5313.0,3559.0,26074.0
APOSTOLES,MISIONES,33.0,34.0,18.0,6.0,5262.0,6783.0,4559.0,33899.0
CANDELARIA,MISIONES,23.0,30.0,14.0,1.0,3758.0,4979.0,3276.0,22932.0
CONFLUENCIA,NEUQUEN,147.0,160.0,86.0,31.0,34739.0,52500.0,35969.0,344009.0
MINAS,NEUQUEN,30.0,42.0,15.0,1.0,737.0,1061.0,703.0,6766.0
ZAPALA,NEUQUEN,27.0,30.0,7.0,5.0,3426.0,5480.0,3890.0,32744.0
LACAR,NEUQUEN,19.0,24.0,9.0,2.0,2801.0,4460.0,3275.0,29031.0
HUILICHES,NEUQUEN,18.0,19.0,6.0,1.0,1713.0,2530.0,1681.0,14929.0
CHOS MALAL,NEUQUEN,10.0,18.0,4.0,2.0,1298.0,2162.0,1439.0,13390.0
PEHUENCHES,NEUQUEN,11.0,17.0,8.0,2.0,2678.0,4093.0,2803.0,20147.0
ALUMINE,NEUQUEN,12.0,13.0,6.0,1.0,878.0,1208.0,865.0,7222.0
ÑORQUIN,NEUQUEN,11.0,13.0,5.0,0.0,440.0,646.0,452.0,4034.0
CATAN LIL,NEUQUEN,10.0,12.0,1.0,0.0,220.0,368.0,221.0,1832.0
LONCOPUE,NEUQUEN,6.0,11.0,2.0,1.0,675.0,927.0,623.0,5471.0
PICUNCHES,NEUQUEN,9.0,10.0,2.0,2.0,721.0,1097.0,673.0,5980.0
AÑELO,NEUQUEN,6.0,9.0,6.0,1.0,1908.0,2480.0,1621.0,12141.0
LOS LAGOS,NEUQUEN,7.0,9.0,6.0,2.0,1136.0,1861.0,1313.0,11192.0
COLLON CURA,NEUQUEN,5.0,7.0,1.0,0.0,360.0,535.0,384.0,3553.0
PICUN LEUFU,NEUQUEN,5.0,7.0,2.0,0.0,391.0,631.0,386.0,3679.0
GENERAL ROCA,RIO NEGRO,187.0,200.0,103.0,31.0,29296.0,43425.0,29929.0,276977.0
25 DE MAYO,RIO NEGRO,140.0,191.0,88.0,11.0,1353.0,1877.0,1370.0,11955.0
AVELLANEDA,RIO NEGRO,174.0,174.0,118.0,23.0,3407.0,4940.0,3494.0,29319.0
9 DE JULIO,RIO NEGRO,134.0,171.0,54.0,6.0,274.0,408.0,269.0,2731.0
BARILOCHE,RIO NEGRO,72.0,71.0,47.0,10.0,11266.0,17315.0,11848.0,121014.0
ADOLFO ALSINA,RIO NEGRO,58.0,58.0,33.0,13.0,4517.0,7124.0,5116.0,47088.0
SAN ANTONIO,RIO NEGRO,20.0,21.0,10.0,3.0,2730.0,4166.0,2883.0,25694.0
PILCANIYEU,RIO NEGRO,8.0,13.0,5.0,1.0,598.0,1107.0,706.0,6898.0
PICHI MAHUIDA,RIO NEGRO,9.0,10.0,4.0,1.0,1344.0,1943.0,1228.0,11978.0
CONESA,RIO NEGRO,7.0,9.0,2.0,1.0,605.0,840.0,543.0,5410.0
EL CUY,RIO NEGRO,7.0,9.0,8.0,0.0,545.0,901.0,578.0,4936.0
ÑORQUINCO,RIO NEGRO,7.0,9.0,3.0,0.0,113.0,141.0,107.0,1091.0
VALCHETA,RIO NEGRO,6.0,8.0,4.0,1.0,337.0,457.0,297.0,3209.0
CAPITAL,SALTA,1558.0,1336.0,1060.0,356.0,47812.0,72054.0,49058.0,455079.0
RIVADAVIA,SALTA,204.0,206.0,58.0,12.0,5048.0,6427.0,4141.0,22446.0
GENERAL JOSE DE SAN MARTIN,SALTA,107.0,108.0,44.0,8.0,19509.0,25874.0,17342.0,114723.0
ORAN,SALTA,75.0,66.0,27.0,11.0,16651.0,22746.0,15282.0,105036.0
ANTA,SALTA,55.0,57.0,22.0,5.0,7052.0,9429.0,6435.0,46526.0
SAN CARLOS,SALTA,66.0,51.0,17.0,3.0,674.0,1102.0,697.0,5306.0
SANTA VICTORIA,SALTA,38.0,45.0,7.0,2.0,909.0,1436.0,1055.0,6011.0
ROSARIO DE LA FRONTERA,SALTA,34.0,33.0,10.0,3.0,2966.0,4146.0,2748.0,23890.0
ROSARIO DE LERMA,SALTA,32.0,33.0,10.0,3.0,4735.0,6604.0,4340.0,35282.0
METAN,SALTA,29.0,27.0,14.0,5.0,4326.0,5695.0,3741.0,34266.0
IRUYA,SALTA,23.0,26.0,6.0,1.0,676.0,930.0,667.0,3843.0
CHICOANA,SALTA,18.0,18.0,6.0,2.0,2069.0,3014.0,2161.0,17471.0
CERRILLOS,SALTA,22.0,18.0,9.0,1.0,5342.0,8047.0,5068.0,37256.0
CACHI,SALTA,16.0,16.0,5.0,1.0,832.0,1236.0,740.0,6120.0
MOLINOS,SALTA,14.0,14.0,6.0,1.0,516.0,837.0,594.0,3861.0
GUACHIPAS,SALTA,7.0,10.0,2.0,1.0,314.0,403.0,263.0,2511.0
CAFAYATE,SALTA,11.0,10.0,6.0,4.0,1430.0,2378.0,1606.0,12408.0
LA VIÑA,SALTA,8.0,9.0,3.0,1.0,760.0,1108.0,768.0,6252.0
LA CALDERA,SALTA,10.0,9.0,3.0,0.0,966.0,1430.0,918.0,8932.0
LOS ANDES,SALTA,9.0,8.0,4.0,1.0,875.0,1130.0,772.0,4405.0
LA POMA,SALTA,8.0,8.0,2.0,1.0,167.0,260.0,190.0,1172.0
LA CANDELARIA,SALTA,6.0,7.0,3.0,1.0,596.0,904.0,614.0,5068.0
GENERAL GÜEMES,SALTA,,,,,4858.0,6917.0,4616.0,39355.0
CAPITAL,SAN JUAN,1558.0,1336.0,1060.0,356.0,7849.0,10619.0,7771.0,88610.0
RIVADAVIA,SAN JUAN,204.0,206.0,58.0,12.0,8399.0,11692.0,7999.0,73244.0
25 DE MAYO,SAN JUAN,140.0,191.0,88.0,11.0,2294.0,2998.0,2234.0,13298.0
SAN MARTIN,SAN JUAN,185.0,188.0,80.0,14.0,1586.0,2165.0,1442.0,9844.0
9 DE JULIO,SAN JUAN,134.0,171.0,54.0,6.0,1295.0,1704.0,1140.0,8359.0
RAWSON,SAN JUAN,111.0,98.0,57.0,15.0,11959.0,16891.0,11849.0,95883.0
SARMIENTO,SAN JUAN,42.0,51.0,32.0,3.0,2876.0,3853.0,2782.0,17677.0
JACHAL,SAN JUAN,32.0,34.0,27.0,3.0,2155.0,2781.0,1993.0,18340.0
POCITO,SAN JUAN,26.0,27.0,14.0,0.0,7282.0,10435.0,7207.0,47955.0
CHIMBAS,SAN JUAN,21.0,26.0,19.0,0.0,9879.0,13494.0,9618.0,70781.0
CAUCETE,SAN JUAN,23.0,26.0,20.0,1.0,4319.0,5636.0,4227.0,29835.0
VALLE FERTIL,SAN JUAN,19.0,21.0,20.0,2.0,772.0,963.0,655.0,6035.0
SANTA LUCIA,SAN JUAN,16.0,18.0,9.0,1.0,5620.0,7756.0,5316.0,44005.0
CALINGASTA,SAN JUAN,16.0,17.0,14.0,1.0,1104.0,1476.0,923.0,7164.0
IGLESIA,SAN JUAN,11.0,14.0,11.0,0.0,819.0,1084.0,753.0,6170.0
ALBARDON,SAN JUAN,13.0,13.0,8.0,0.0,2958.0,4253.0,2987.0,21083.0
ANGACO,SAN JUAN,12.0,12.0,8.0,2.0,969.0,1380.0,977.0,6846.0
ULLUM,SAN JUAN,2.0,2.0,1.0,1.0,614.0,864.0,590.0,4386.0
ZONDA,SAN JUAN,2.0,2.0,2.0,0.0,679.0,881.0,616.0,4498.0
JUNIN,SAN LUIS,102.0,105.0,82.0,14.0,2825.0,4272.0,3314.0,29878.0
LIBERTADOR GENERAL SAN MARTIN,SAN LUIS,56.0,100.0,29.0,14.0,327.0,445.0,366.0,3553.0
CHACABUCO,SAN LUIS,71.0,96.0,55.0,10.0,1946.0,2742.0,2137.0,19697.0
AYACUCHO,SAN LUIS,35.0,80.0,49.0,4.0,2003.0,2770.0,2084.0,16796.0
GENERAL PEDERNERA,SAN LUIS,58.0,69.0,67.0,5.0,11922.0,17217.0,12765.0,106767.0
BELGRANO,SAN LUIS,31.0,65.0,46.0,4.0,444.0,651.0,452.0,4028.0
CORONEL PRINGLES,SAN LUIS,31.0,47.0,37.0,1.0,1180.0,1710.0,1381.0,11773.0
GOBERNADOR DUPUY,SAN LUIS,13.0,14.0,17.0,0.0,1283.0,1708.0,1295.0,10048.0
JUAN MARTIN DE PUEYRREDON,SAN LUIS,,,,,19681.0,28921.0,22532.0,189635.0
DESEADO,SANTA CRUZ,37.0,45.0,30.0,4.0,10716.0,16156.0,11452.0,87942.0
RIO CHICO,SANTA CRUZ,33.0,34.0,29.0,2.0,585.0,874.0,541.0,4271.0
LAGO ARGENTINO,SANTA CRUZ,7.0,9.0,7.0,1.0,2180.0,3312.0,2237.0,17655.0
CORPEN AIKE,SANTA CRUZ,5.0,6.0,6.0,0.0,1456.0,1949.0,1308.0,10322.0
LAGO BUENOS AIRES,SANTA CRUZ,4.0,5.0,4.0,0.0,1298.0,1616.0,992.0,8678.0
MAGALLANES,SANTA CRUZ,4.0,3.0,3.0,0.0,1110.0,1739.0,1144.0,8835.0
GÜER AIKE,SANTA CRUZ,,,,,10573.0,16392.0,11651.0,98693.0
ROSARIO,SANTA FE,343.0,342.0,256.0,87.0,97904.0,136909.0,92300.0,1010845.0
SAN JUSTO,SANTA FE,201.0,222.0,103.0,22.0,3766.0,5112.0,3605.0,34003.0
SAN MARTIN,SANTA FE,185.0,188.0,80.0,14.0,5177.0,7148.0,4917.0,50057.0
LA CAPITAL,SANTA FE,194.0,175.0,128.0,47.0,42937.0,60178.0,41916.0,423228.0
9 DE JULIO,SANTA FE,134.0,171.0,54.0,6.0,2720.0,3636.0,2737.0,21849.0
GENERAL OBLIGADO,SANTA FE,129.0,155.0,67.0,14.0,17202.0,22397.0,15808.0,142126.0
SAN JAVIER,SANTA FE,118.0,132.0,43.0,12.0,3076.0,4011.0,2450.0,23643.0
CASTELLANOS,SANTA FE,126.0,124.0,54.0,6.0,15092.0,20593.0,14588.0,139191.0
SAN CRISTOBAL,SANTA FE,105.0,112.0,45.0,6.0,5906.0,8274.0,5805.0,52608.0
LAS COLONIAS,SANTA FE,103.0,107.0,43.0,7.0,8519.0,11728.0,8397.0,86086.0
GENERAL LOPEZ,SANTA FE,96.0,104.0,60.0,16.0,14884.0,20764.0,14619.0,150188.0
VERA,SANTA FE,87.0,92.0,29.0,5.0,4985.0,6546.0,4625.0,39307.0
SAN LORENZO,SANTA FE,66.0,89.0,46.0,11.0,16356.0,22850.0,14817.0,139763.0
BELGRANO,SANTA FE,31.0,65.0,46.0,4.0,3597.0,4903.0,3601.0,36443.0
SAN JERONIMO,SANTA FE,53.0,64.0,27.0,5.0,6707.0,9086.0,6251.0,62573.0
IRIONDO,SANTA FE,39.0,50.0,24.0,5.0,5742.0,7768.0,5147.0,54979.0
CONSTITUCION,SANTA FE,40.0,45.0,32.0,4.0,6793.0,9370.0,7055.0,69782.0
CASEROS,SANTA FE,28.0,37.0,30.0,4.0,5966.0,8294.0,5920.0,66081.0
GARAY,SANTA FE,20.0,22.0,8.0,3.0,2349.0,2920.0,1799.0,17785.0
CAPITAL,SANTIAGO DEL ESTERO,1558.0,1336.0,1060.0,356.0,26352.0,37231.0,25179.0,240062.0
MORENO,SANTIAGO DEL ESTERO,164.0,206.0,160.0,12.0,4608.0,5635.0,4379.0,25730.0
RIVADAVIA,SANTIAGO DEL ESTERO,204.0,206.0,58.0,12.0,487.0,649.0,445.0,3733.0
SAN MARTIN,SANTIAGO DEL ESTERO,185.0,188.0,80.0,14.0,1183.0,1602.0,1238.0,7160.0
AVELLANEDA,SANTIAGO DEL ESTERO,174.0,174.0,118.0,23.0,2758.0,3527.0,2670.0,16507.0
BANDA,SANTIAGO DEL ESTERO,120.0,105.0,66.0,8.0,16118.0,21600.0,14237.0,118446.0
COPO,SANTIAGO DEL ESTERO,33.0,79.0,20.0,3.0,3908.0,4966.0,3672.0,23107.0
PELLEGRINI,SANTIAGO DEL ESTERO,57.0,78.0,43.0,2.0,2632.0,3634.0,2461.0,17466.0
FIGUEROA,SANTIAGO DEL ESTERO,54.0,70.0,34.0,1.0,2127.0,2803.0,2095.0,13221.0
RIO HONDO,SANTIAGO DEL ESTERO,67.0,68.0,47.0,2.0,6377.0,8569.0,5737.0,45954.0
BELGRANO,SANTIAGO DEL ESTERO,31.0,65.0,46.0,4.0,1033.0,1293.0,897.0,7586.0
ALBERDI,SANTIAGO DEL ESTERO,36.0,58.0,22.0,1.0,2298.0,2854.0,1979.0,12973.0
GENERAL TABOADA,SANTIAGO DEL ESTERO,44.0,52.0,14.0,2.0,4772.0,6042.0,4575.0,30915.0
SARMIENTO,SANTIAGO DEL ESTERO,42.0,51.0,32.0,3.0,533.0,722.0,501.0,3278.0
CHOYA,SANTIAGO DEL ESTERO,40.0,48.0,32.0,5.0,3746.0,5276.0,3830.0,30840.0
LORETO,SANTIAGO DEL ESTERO,52.0,47.0,30.0,3.0,2243.0,3051.0,2185.0,16568.0
OJO DE AGUA,SANTIAGO DEL ESTERO,29.0,45.0,10.0,1.0,1392.0,1714.0,1338.0,10564.0
QUEBRACHOS,SANTIAGO DEL ESTERO,27.0,43.0,15.0,1.0,1286.0,1585.0,1096.0,8369.0
JIMENEZ,SANTIAGO DEL ESTERO,27.0,39.0,32.0,1.0,1847.0,2376.0,1715.0,12684.0
SALAVINA,SANTIAGO DEL ESTERO,28.0,38.0,20.0,1.0,1294.0,1746.0,1391.0,8344.0
ROBLES,SANTIAGO DEL ESTERO,46.0,38.0,24.0,3.0,5435.0,7173.0,5013.0,36258.0
ATAMISQUI,SANTIAGO DEL ESTERO,26.0,26.0,13.0,2.0,1520.0,2168.0,1595.0,9611.0
GUASAYAN,SANTIAGO DEL ESTERO,18.0,23.0,15.0,1.0,900.0,1095.0,786.0,6470.0
SILIPICA,SANTIAGO DEL ESTERO,14.0,16.0,14.0,0.0,861.0,1173.0,894.0,6838.0
AGUIRRE,SANTIAGO DEL ESTERO,10.0,13.0,5.0,1.0,804.0,1064.0,781.0,6310.0
MITRE,SANTIAGO DEL ESTERO,5.0,10.0,4.0,0.0,112.0,143.0,136.0,1049.0
JUAN FELIPE IBARRA,SANTIAGO DEL ESTERO,,,,,2152.0,3004.0,2199.0,13212.0
RIO GRANDE,TIERRA DEL FUEGO,28.0,33.0,24.0,9.0,8087.0,11816.0,8293.0,70726.0
USHUAIA,TIERRA DEL FUEGO,24.0,29.0,23.0,5.0,6135.0,8898.0,6237.0,58739.0
TOLHUIN,TIERRA DEL FUEGO,,,,,581.0,832.0,543.0,4071.0
CAPITAL,TUCUMAN,1558.0,1336.0,1060.0,356.0,44089.0,60342.0,41745.0,441113.0
CRUZ ALTA,TUCUMAN,89.0,76.0,53.0,6.0,21071.0,29374.0,19840.0,157403.0
LEALES,TUCUMAN,73.0,73.0,51.0,3.0,5678.0,7892.0,5643.0,47139.0
BURRUYACU,TUCUMAN,57.0,57.0,44.0,2.0,4330.0,6034.0,4132.0,30963.0
SIMOCA,TUCUMAN,52.0,52.0,33.0,2.0,3132.0,4427.0,3009.0,26378.0
TAFI VIEJO,TUCUMAN,55.0,49.0,39.0,3.0,15052.0,21744.0,14773.0,121308.0
CHICLIGASTA,TUCUMAN,44.0,41.0,30.0,5.0,7651.0,10719.0,7391.0,66547.0
MONTEROS,TUCUMAN,42.0,40.0,25.0,6.0,6523.0,9280.0,6561.0,55105.0
RIO CHICO,TUCUMAN,33.0,34.0,29.0,2.0,5525.0,7740.0,5394.0,46268.0
