Departamento,provincia,Clae3,Empleados
Ambato,Catamarca,152,88.0
Andalgalá,Catamarca,472,71.0
Andalgalá,Catamarca,492,22.0
Andalgalá,Catamarca,089,112.0
Andalgalá,Catamarca,099,49.0
Antofagasta de la Sierra,Catamarca,089,550.0
Belén,Catamarca,012,14.0
Belén,Catamarca,014,4.0
Belén,Catamarca,452,13.0
Capayán,Catamarca,011,37.0
Capayán,Catamarca,429,542.0
Capital,Catamarca,101,180.0
Capital,Catamarca,103,94.0
Capital,Catamarca,107,149.0
Capital,Catamarca,011,362.0
Capital,Catamarca,012,42.0
Capital,Catamarca,012,29.0
Capital,Catamarca,013,41.0
Capital,Catamarca,131,460.0
Capital,Catamarca,141,647.0
Capital,Catamarca,141,141.0
Capital,Catamarca,014,6.0
Capital,Catamarca,152,73.0
Capital,Catamarca,251,355.0
Capital,Catamarca,275,205.0
Capital,Catamarca,351,26.0
Capital,Catamarca,351,418.0
Capital,Catamarca,360,300.0
Capital,Catamarca,410,375.0
Capital,Catamarca,410,448.0
Capital,Catamarca,421,160.0
Capital,Catamarca,422,23.0
Capital,Catamarca,429,416.0
Capital,Catamarca,429,1019.0
Capital,Catamarca,439,297.0
Capital,Catamarca,451,442.0
Capital,Catamarca,452,9.0
Capital,Catamarca,452,6.0
Capital,Catamarca,452,7.0
Capital,Catamarca,453,37.0
Capital,Catamarca,453,12.0
Capital,Catamarca,453,61.0
Capital,Catamarca,454,66.0
Capital,Catamarca,461,14.0
Capital,Catamarca,461,51.0
Capital,Catamarca,463,35.0
Capital,Catamarca,463,23.0
Capital,Catamarca,463,93.0
Capital,Catamarca,463,23.0
Capital,Catamarca,463,25.0
Capital,Catamarca,466,62.0
Capital,Catamarca,466,153.0
Capital,Catamarca,471,498.0
Capital,Catamarca,471,85.0
Capital,Catamarca,471,48.0
Capital,Catamarca,472,44.0
Capital,Catamarca,472,84.0
Capital,Catamarca,472,10.0
Capital,Catamarca,472,59.0
Capital,Catamarca,472,91.0
Capital,Catamarca,472,26.0
Capital,Catamarca,473,366.0
Capital,Catamarca,474,27.0
Capital,Catamarca,475,8.0
Capital,Catamarca,475,17.0
Capital,Catamarca,475,15.0
Capital,Catamarca,475,67.0
Capital,Catamarca,475,39.0
Capital,Catamarca,475,64.0
Capital,Catamarca,475,12.0
Capital,Catamarca,475,183.0
Capital,Catamarca,475,106.0
Capital,Catamarca,475,25.0
Capital,Catamarca,475,25.0
Capital,Catamarca,475,47.0
Capital,Catamarca,475,65.0
Capital,Catamarca,476,6.0
Capital,Catamarca,476,77.0
Capital,Catamarca,476,26.0
Capital,Catamarca,477,8.0
Capital,Catamarca,477,27.0
Capital,Catamarca,477,177.0
Capital,Catamarca,477,10.0
Capital,Catamarca,477,38.0
Capital,Catamarca,477,72.0
Capital,Catamarca,477,478.0
Capital,Catamarca,477,31.0
Capital,Catamarca,477,24.0
Capital,Catamarca,477,27.0
Capital,Catamarca,477,14.0
Capital,Catamarca,477,91.0
Capital,Catamarca,492,100.0
Capital,Catamarca,530,101.0
Capital,Catamarca,561,335.0
Capital,Catamarca,561,29.0
Capital,Catamarca,561,87.0
Capital,Catamarca,581,94.0
Capital,Catamarca,602,42.0
Capital,Catamarca,614,18.0
Capital,Catamarca,649,102.0
