Departamento,provincia,Poblacion,Cantidad de EE,EmpresasExportadoras_EmpleanMujeres
GUALEGUAYCHU,ENTRE RIOS,125176.0,180,279
MERCEDES,BUENOS AIRES,71002.0,179,213
MERCEDES,CORRIENTES,49807.0,179,81
SAN LORENZO,SANTA FE,193786.0,178,364
SAN LORENZO,CHACO,16045.0,178,15
TANDIL,BUENOS AIRES,144678.0,174,386
JOSE C. PAZ,BUENOS AIRES,326527.0,174,217
GENERAL MANUEL BELGRANO,MISIONES,45456.0,174,53
PILCOMAYO,FORMOSA,94116.0,172,103
SAN NICOLAS,BUENOS AIRES,166657.0,167,296
LAVALLE,MENDOZA,47086.0,167,50
LAVALLE,CORRIENTES,40406.0,167,29
LEANDRO N. ALEM,MISIONES,49391.0,166,105
LEANDRO N. ALEM,BUENOS AIRES,17153.0,166,88
MARCOS JUAREZ,CORDOBA,107286.0,165,282
LIBERTADOR GENERAL SAN MARTIN,MISIONES,52166.0,164,114
SAN IGNACIO,MISIONES,63194.0,164,83
LIBERTADOR GENERAL SAN MARTIN,CHACO,65304.0,164,49
LIBERTADOR GENERAL SAN MARTIN,SAN LUIS,4691.0,164,6
BARILOCHE,RIO NEGRO,161443.0,163,356
TERCERO ARRIBA,CORDOBA,120207.0,161,298
RIO SEGUNDO,CORDOBA,113311.0,161,246
GOYA,CORRIENTES,106223.0,161,139
URUGUAY,ENTRE RIOS,115516.0,158,235
CRUZ ALTA,TUCUMAN,227688.0,158,169
COMUNA 1,CIUDAD DE BUENOS AIRES,221001.0,157,780
PERGAMINO,BUENOS AIRES,114988.0,155,311
GENERAL JOSE DE SAN MARTIN,SALTA,177448.0,155,184
COMUNA 4,CIUDAD DE BUENOS AIRES,227024.0,154,543
GENERAL ALVEAR,MENDOZA,52379.0,153,159
GENERAL ALVEAR,BUENOS AIRES,10150.0,153,50
GENERAL ALVEAR,CORRIENTES,9051.0,153,16
IGUAZU,MISIONES,99838.0,150,165
GODOY CRUZ,MENDOZA,194557.0,149,362
ADOLFO ALSINA,RIO NEGRO,63845.0,149,200
COMANDANTE FERNANDEZ,CHACO,101086.0,149,193
ADOLFO ALSINA,BUENOS AIRES,17344.0,149,85
LUJAN,BUENOS AIRES,110111.0,147,305
CRUZ DEL EJE,CORDOBA,64748.0,145,99
EZEIZA,BUENOS AIRES,198620.0,144,286
HURLINGHAM,BUENOS AIRES,185361.0,143,286
AYACUCHO,BUENOS AIRES,21757.0,142,96
AYACUCHO,SAN LUIS,23653.0,142,36
LAS HERAS,MENDOZA,233839.0,141,248
VERA,SANTA FE,55463.0,141,95
ELDORADO,MISIONES,91133.0,138,158
RIO PRIMERO,CORDOBA,58181.0,136,152
COMUNA 13,CIUDAD DE BUENOS AIRES,262330.0,135,569
VILLAGUAY,ENTRE RIOS,55284.0,135,131
NECOCHEA,BUENOS AIRES,101483.0,132,265
ZARATE,BUENOS AIRES,131415.0,131,274
CAMPANA,BUENOS AIRES,107976.0,129,270
BELEN,CATAMARCA,30353.0,129,54
COMUNA 8,CIUDAD DE BUENOS AIRES,203888.0,127,326
CALAMUCHITA,CORDOBA,75462.0,127,168
PELLEGRINI,BUENOS AIRES,7112.0,127,34
PELLEGRINI,SANTIAGO DEL ESTERO,26193.0,127,15
AZUL,BUENOS AIRES,75152.0,126,210
SAN JERONIMO,SANTA FE,84617.0,126,204
NOGOYA,ENTRE RIOS,42954.0,126,107
RIO HONDO,SANTIAGO DEL ESTERO,66637.0,126,91
COMUNA 14,CIUDAD DE BUENOS AIRES,247252.0,124,561
COMUNA 12,CIUDAD DE BUENOS AIRES,235364.0,124,478
COMUNA 11,CIUDAD DE BUENOS AIRES,201905.0,122,458
COMUNA 3,CIUDAD DE BUENOS AIRES,193537.0,120,492
COMUNA 7,CIUDAD DE BUENOS AIRES,213262.0,120,415
BELGRANO,SANTA FE,48544.0,119,176
ORAN,SALTA,159715.0,119,160
BELGRANO,SANTIAGO DEL ESTERO,10809.0,119,61
BELGRANO,SAN LUIS,5575.0,119,6
COMUNA 9,CIUDAD DE BUENOS AIRES,167908.0,118,454
GENERAL PEDERNERA,SAN LUIS,148671.0,116,274
COMUNA 10,CIUDAD DE BUENOS AIRES,171896.0,113,424
FEDERACION,ENTRE RIOS,78264.0,113,172
GENERAL PAZ,BUENOS AIRES,14141.0,112,48
GENERAL PAZ,CORRIENTES,17016.0,112,23
CHIVILCOY,BUENOS AIRES,70554.0,110,241
RAMON LISTA,FORMOSA,17678.0,109,
LUJAN DE CUYO,MENDOZA,171883.0,108,299
