Cue,NivelEducativo
20037900,Jardin
20038000,Primario
20038100,Jardin
20038200,Jardin
20038300,Secundario
20038600,Primario
20038700,Jardin
20038700,Primario
20038700,Secundario
20039800,Jardin
20039800,Primario
20039900,Primario
20040000,Primario
20040100,Secundario
20040200,Jardin
20040200,Primario
20040200,Secundario
20040300,Jardin
20040300,Primario
20040400,Primario
20040700,Jardin
20040700,Primario
20040700,Secundario
20041000,Primario
20041100,Jardin
20041100,Primario
20041100,Secundario
20041200,Jardin
20041200,Primario
20041300,Primario
20041400,Secundario
20041500,Jardin
20041500,Primario
20041500,Secundario
20041700,Primario
20041800,Primario
20041900,Primario
20042000,Jardin
20042000,Primario
20042000,Secundario
20042100,Primario
20042200,Jardin
20042200,Primario
20042200,Secundario
20042400,SNU
20042500,Jardin
20042500,Primario
20042600,Jardin
20042700,Jardin
20042800,Jardin
20042800,Primario
20042800,Secundario
20043300,Primario
20043700,Jardin
20043700,Primario
20043800,Primario
20043900,Jardin
20044000,Jardin
20044000,Primario
20044100,Primario
20044200,Jardin
20044400,Jardin
20044401,Jardin
20044402,Jardin
20044600,Jardin
20044600,Primario
20044700,Primario
20045100,SNU
20045500,Jardin
20045500,Primario
20045600,Jardin
20045600,Primario
20045700,Jardin
20045700,Primario
20045800,SNU
20046000,Secundario
20046100,Primario
20046200,Primario
20046300,Primario
20046400,Jardin
20046400,Primario
20046700,Jardin
20046702,Jardin
20046703,Jardin
20046900,Secundario
20047000,Primario
20047200,Primario
20047300,Primario
20047400,Primario
20047600,Primario
20047700,Jardin
20047800,Secundario
20047900,Jardin
20047900,Primario
20047900,Secundario
20048100,Primario
20048300,Secundario
20048400,Primario
20048500,Primario
20048600,Jardin
20048600,Primario
20048600,Secundario
20048700,Secundario
20048900,Primario
20049000,Primario
20049100,Primario
20049200,Jardin
20049300,Jardin
20049300,Primario
20049300,Secundario
20049400,Secundario
20049500,Primario
20049600,Jardin
20049600,Primario
20049600,Secundario
20049700,Primario
20049900,Secundario
20050000,Secundario
20050200,Jardin
20050200,Primario
20050200,Secundario
20050300,Jardin
20050300,Primario
20050300,Secundario
20050400,Primario
20050600,Secundario
20050800,Jardin
20050800,Primario
20050800,Secundario
20050900,Secundario
20051100,Jardin
20051100,Primario
20051100,Secundario
20051200,Jardin
20051200,Primario
20051200,Secundario
20051300,Jardin
20051300,Primario
20051300,Secundario
20051400,Primario
20051600,Primario
20051800,Primario
20051900,Primario
20052000,Primario
20052100,Jardin
20052100,Primario
20052100,Secundario
20052300,Primario
20052400,Primario
20052500,Jardin
20052500,Primario
20052600,SNU
20052700,Primario
20052700,Secundario
20052800,Primario
20053000,Primario
20053100,SNU
20053200,Jardin
20053200,Primario
20053300,Primario
20053400,Jardin
20053400,Primario
20053400,Secundario
20053500,Jardin
20053500,Primario
20053500,Secundario
20053600,Primario
20053600,SNU
20053600,Secundario
20053601,SNU
