Departamento,provincia,Poblacion,Cantidad de EE,EmpresasExportadoras_EmpleanMujeres
Comuna 5,Ciudad Autónoma de Buenos Aires,192449.0,156,312.0
Güer Aike,Santa Cruz,137309.0,153,111.0
Calamuchita,Córdoba,75462.0,152,29.0
Azul,Buenos Aires,75152.0,151,33.0
Federación,Entre Ríos,78264.0,145,50.0
Leandro N. Alem,Misiones,49391.0,145,28.0
Deseado,Santa Cruz,126266.0,142,149.0
Diamante,Entre Ríos,52312.0,142,30.0
Lavalle,Mendoza,47086.0,142,28.0
Río Hondo,Santiago del Estero,66637.0,142,1.0
Comuna 6,Ciudad Autónoma de Buenos Aires,201764.0,141,280.0
Rawson,San Juan,136582.0,141,51.0
Constitución,Santa Fe,93000.0,140,71.0
Mayor Luis J. Fontana,Chaco,59798.0,140,24.0
Bermejo,Formosa,15600.0,140,0.0
Iriondo,Santa Fe,73636.0,138,101.0
25 de Mayo,Misiones,30877.0,138,1.0
Ramón Lista,Formosa,17678.0,137,0.0
Orán,Salta,159715.0,135,63.0
Caseros,Santa Fe,86261.0,134,86.0
Tafí Viejo,Tucumán,172877.0,134,59.0
Adolfo Alsina,Río Negro,63845.0,134,34.0
Leales,Tucumán,66352.0,134,14.0
Juárez Celman,Córdoba,68317.0,133,149.0
Belén,Catamarca,30353.0,133,12.0
San Pedro,Misiones,34690.0,133,0.0
Mercedes,Buenos Aires,71002.0,132,58.0
Libertador General San Martín,Misiones,52166.0,132,27.0
Rivadavia,Salta,38062.0,131,0.0
Trenque Lauquen,Buenos Aires,49128.0,130,56.0
Colón,Entre Ríos,74890.0,129,59.0
San Javier,Córdoba,62700.0,129,18.0
General Pedernera,San Luis,148671.0,128,136.0
San Martín,Santa Fe,67299.0,128,76.0
General Alvear,Mendoza,52379.0,128,35.0
Chivilcoy,Buenos Aires,70554.0,127,54.0
Gualeguay,Entre Ríos,56796.0,127,48.0
9 de Julio,Santa Fe,30942.0,125,24.0
General Rodríguez,Buenos Aires,142315.0,124,79.0
San Pedro,Buenos Aires,68353.0,124,64.0
Victoria,Entre Ríos,40301.0,123,23.0
Almirante Brown,Chaco,37794.0,122,8.0
San Alberto,Córdoba,42029.0,119,9.0
Tres Arroyos,Buenos Aires,61889.0,118,62.0
25 de Mayo,Buenos Aires,35411.0,118,9.0
Federal,Entre Ríos,29436.0,118,2.0
Moreno,Santiago del Estero,40352.0,117,19.0
San Justo,Santa Fe,46486.0,116,26.0
San Pedro,Jujuy,88237.0,114,15.0
Pellegrini,Santiago del Estero,26193.0,114,2.0
Comuna 2,Ciudad Autónoma de Buenos Aires,160609.0,113,564.0
Río Grande,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",98922.0,113,71.0
Lincoln,Buenos Aires,45191.0,113,30.0
9 de Julio,Buenos Aires,52366.0,112,39.0
Copo,Santiago del Estero,35653.0,112,2.0
San Carlos,Mendoza,39752.0,109,106.0
Rivadavia,San Juan,101334.0,109,15.0
Figueroa,Santiago del Estero,20246.0,109,0.0
Cañuelas,Buenos Aires,70542.0,108,58.0
Pehuajó,Buenos Aires,44594.0,108,32.0
Bolívar,Buenos Aires,37194.0,108,23.0
Bermejo,Chaco,28060.0,108,4.0
Esquina,Corrientes,39168.0,107,10.0
Ushuaia,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",80009.0,105,81.0
Chacabuco,Buenos Aires,52409.0,105,53.0
Berisso,Buenos Aires,100685.0,105,17.0
Coronel Suárez,Buenos Aires,41713.0,104,34.0
Balcarce,Buenos Aires,48516.0,103,67.0
Santo Tomé,Corrientes,71922.0,103,59.0
Chimbas,San Juan,103772.0,103,47.0
Burruyacú,Tucumán,45459.0,103,9.0
Anta,Salta,69442.0,102,27.0
Futaleufú,Chubut,49965.0,101,31.0
El Carmen,Jujuy,122259.0,101,30.0
La Paz,Catamarca,26341.0,101,9.0
Choya,Santiago del Estero,43692.0,101,0.0
Tunuyán,Mendoza,59972.0,100,136.0
Apóstoles,Misiones,50503.0,100,26.0
Chicligasta,Tucumán,92308.0,100,14.0
Quitilipi,Chaco,32430.0,100,1.0
Biedma,Chubut,102806.0,97,115.0
Rivadavia,Mendoza,63589.0,97,70.0
Patagones,Buenos Aires,37499.0,97,22.0
Curuzú Cuatiá,Corrientes,51489.0,97,20.0
Robles,Santiago del Estero,53879.0,97,9.0
Maipú,Chaco,26354.0,97,2.0
Maracó,La Pampa,69067.0,96,79.0
Tala,Entre Ríos,31091.0,96,10.0
Chascomús,Buenos Aires,42191.0,95,23.0
Pilagás,Formosa,19089.0,95,2.0
Baradero,Buenos Aires,39223.0,94,25.0
Santa María,Catamarca,26822.0,94,8.0
Loreto,Santiago del Estero,24047.0,94,2.0
La Costa,Buenos Aires,100400.0,93,39.0
Lobos,Buenos Aires,41418.0,93,28.0
Coronel de Marina Leonardo Rosales,Buenos Aires,65823.0,93,13.0
Tinogasta,Catamarca,25254.0,93,7.0
San Vicente,Buenos Aires,97929.0,92,22.0
Ledesma,Jujuy,94132.0,92,15.0
Lavalle,Corrientes,40406.0,92,2.0
Yerba Buena,Tucumán,102589.0,91,94.0
General Roca,Córdoba,36064.0,91,27.0
Villarino,Buenos Aires,32552.0,90,53.0
General Villegas,Buenos Aires,35055.0,90,39.0
Jáchal,San Juan,25269.0,90,18.0
San Javier,Santa Fe,33180.0,88,11.0
Saladillo,Buenos Aires,35423.0,87,32.0
General Taboada,Santiago del Estero,46304.0,87,2.0
Lules,Tucumán,93464.0,86,51.0
Avellaneda,Río Negro,41160.0,86,38.0
Chacabuco,Chaco,34493.0,86,31.0
Monteros,Tucumán,77469.0,85,31.0
Avellaneda,Santiago del Estero,25462.0,85,2.0
Junín,Mendoza,46472.0,84,38.0
Alberdi,Santiago del Estero,20104.0,84,6.0
O'Higgins,Chaco,21544.0,84,0.0
Pocito,San Juan,72879.0,83,51.0
Presidente Roque Sáenz Peña,Córdoba,37551.0,83,34.0
Marcos Paz,Buenos Aires,64761.0,83,32.0
Mercedes,Corrientes,49807.0,83,25.0
Montecarlo,Misiones,38620.0,83,25.0
San Andrés de Giles,Buenos Aires,26399.0,83,20.0
Chilecito,La Rioja,58681.0,82,50.0
Bella Vista,Corrientes,44369.0,82,18.0
Simoca,Tucumán,36946.0,82,3.0
Santa Rosa,Mendoza,19379.0,81,37.0
General Alvarado,Buenos Aires,45307.0,81,29.0
9 de Julio,Chaco,30223.0,81,8.0
Ischilín,Córdoba,36023.0,81,2.0
Jiménez,Santiago del Estero,18622.0,81,2.0
Caucete,San Juan,44017.0,80,28.0
Laishi,Formosa,19275.0,80,0.0
Monte Caseros,Corrientes,45602.0,79,21.0
Ayacucho,San Luis,23653.0,79,9.0
Ayacucho,Buenos Aires,21757.0,79,6.0
25 de Mayo,Chaco,32606.0,79,0.0
Malargüe,Mendoza,32596.0,78,34.0
Cushamen,Chubut,28099.0,78,15.0
Ituzaingó,Corrientes,38767.0,77,26.0
Concepción,Corrientes,26270.0,76,10.0
Juan Felipe Ibarra,Santiago del Estero,20567.0,76,0.0
Belgrano,Santa Fe,48544.0,74,113.0
Las Flores,Buenos Aires,27136.0,74,9.0
General Paz,Corrientes,17016.0,74,3.0
Río Chico,Tucumán,64927.0,74,3.0
Capayán,Catamarca,19471.0,74,0.0
Ensenada,Buenos Aires,63978.0,73,36.0
Brandsen,Buenos Aires,32350.0,73,18.0
Lobería,Buenos Aires,18106.0,73,17.0
Paso de los Libres,Corrientes,56778.0,72,27.0
Magdalena,Buenos Aires,22653.0,72,14.0
Tulumba,Córdoba,14092.0,72,3.0
Bragado,Buenos Aires,46227.0,71,25.0
Carlos Casares,Buenos Aires,22905.0,71,20.0
Candelaria,Misiones,34945.0,71,14.0
12 de Octubre,Chaco,23179.0,71,10.0
Mar Chiquita,Buenos Aires,32973.0,71,8.0
Saladas,Corrientes,29126.0,71,5.0
San Javier,Misiones,23080.0,71,4.0
Sargento Cabral,Chaco,18696.0,71,0.0
Sarmiento,San Juan,27188.0,70,45.0
Presidente Perón,Buenos Aires,101994.0,70,2.0
Río Seco,Córdoba,15275.0,70,0.0
General Juan Madariaga,Buenos Aires,22566.0,69,14.0
Rosario Vera Peñaloza,La Rioja,15764.0,69,0.0
Islas del Ibicuy,Entre Ríos,13984.0,68,2.0
Humahuaca,Jujuy,20877.0,68,0.0
Ramallo,Buenos Aires,39648.0,67,42.0
San Antonio de Areco,Buenos Aires,26695.0,67,21.0
Navarro,Buenos Aires,19888.0,67,10.0
Independencia,Chaco,21948.0,67,7.0
Salto,Buenos Aires,39257.0,66,58.0
Zapala,Neuquén,45540.0,65,28.0
25 de Mayo,San Juan,20824.0,65,15.0
Trancas,Tucumán,23438.0,65,5.0
Ojo de Agua,Santiago del Estero,15008.0,65,4.0
Rojas,Buenos Aires,25619.0,64,56.0
Junín,San Luis,40289.0,64,19.0
Coronel Pringles,Buenos Aires,24110.0,64,13.0
General Donovan,Chaco,15061.0,64,2.0
San Luis del Palmar,Corrientes,21381.0,64,0.0
Salavina,Santiago del Estero,12775.0,64,0.0
Tupungato,Mendoza,41168.0,63,128.0
Totoral,Córdoba,22473.0,63,39.0
Adolfo Alsina,Buenos Aires,17344.0,63,3.0
Feliciano,Entre Ríos,16717.0,63,0.0
Matacos,Formosa,17017.0,63,0.0
Graneros,Tucumán,15539.0,63,0.0
Exaltación de la Cruz,Buenos Aires,40036.0,62,27.0
Arrecifes,Buenos Aires,32077.0,61,28.0
Yavi,Jujuy,25831.0,61,2.0
25 de Mayo,Río Negro,16555.0,60,8.0
Empedrado,Corrientes,17948.0,60,4.0
Quebrachos,Santiago del Estero,12336.0,60,2.0
Saavedra,Buenos Aires,21407.0,59,17.0
Andalgalá,Catamarca,19545.0,59,11.0
Santa Lucía,San Juan,62697.0,58,42.0
Metán,Salta,48028.0,58,26.0
Puán,Buenos Aires,16391.0,58,6.0
Rauch,Buenos Aires,16491.0,58,2.0
